年度,經濟成長率,平均每人國民所得毛額（美元）,儲蓄率,失業率（百分比）,消費者物價-指數,消費者物價-年增率,基本工資（金額）-月薪,基本工資（金額）-時薪,工業及服務業平均月工時（小時）
2002,5.48,13990,27.99,5.17,0,0,15840,66,181.4
2003,4.22,14481,29.72,4.99,0,0,15840,66,181.3
2004,6.95,15797,30.01,4.44,0,0,15840,66,183.5
2005,5.38,16846,29.09,4.13,0,0,15840,66,181.9
2006,5.77,17346,30.53,3.91,0,0,15840,66,180.9
2007,6.85,18189,31.07,3.91,0,0,17280,95,180.4
2008,0.8,18503,29.17,4.14,0,0,17280,95,179.6
2009,-1.61,17460,28.9,5.85,0,0,17280,95,176.7
2010,10.25,19765,32.83,5.21,89.93,0.97,17280,95,181.1
2011,3.67,21410,31.16,4.39,91.21,1.42,17880,98,178.7
2012,2.22,21922,30.45,4.24,92.97,1.93,18780,103,178.4
2013,2.48,22552,32.39,4.18,93.71,0.8,19047,109,177
2014,4.72,23492,34.35,3.96,94.83,1.2,19273,115,177.9
2015,1.47,23367,35.46,3.78,94.54,-0.31,20008,120,175.4
2016,2.17,23684,35.21,3.92,95.86,1.4,20008,126,169.6
2017,3.31,25704,35.61,3.76,96.45,0.62,21009,133,169.5
2018,2.79,26421,34.77,3.71,97.76,1.36,22000,140,169.4
2019,3.06,26561,34.74,3.73,98.3,0.55,23100,150,168.8
2020,3.39,29369,38.76,3.85,98.07,-0.23,23800,158,168.3
2021,6.62,33808,43.32,3.95,100,1.97,24000,160,166.6
2022,2.59,33624,41.53,3.67,102.95,2.95,25250,168,167.1
